Kalimat,Anotasi Program,Anotasi Furqon,Anotasi Richard,Richard dan Furqon,Anotasi Yuly
Pemungutan suara Pilkada DKI putaran kedua selesai dilakukan. ,B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP O,B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP O,B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP O,Beda,B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 B-AM-TMP I-AM-TMP O
Petugas menghitung perolehan suara calon gubernur dan wakil gubernur yang sedang bertarung.,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,Sama,
"Di tempat cawagub petahana Djarot Saiful Hidayat, TPS 08 Setiabudi, Kuningan Timur, Jakarta Selatan, suara pasangan Ahok-Djarot berada di bawah suara pasangan calon Anies-Sandi.",None (more than 30),B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC  I-AM-LOC O I-AM-LOC  I-AM-LOC  I-AM-LOC O I-AM-LOC  I-AM-LOC O I-AM-LOC I-AM-LOC O B-A1 I-A1 I-A1 B-V B-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT O      ,B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC O I-AM-LOC I-AM-LOC O B-A1 I-A1 I-A1 B-V B-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT O,Beda,B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC  I-AM-LOC O I-AM-LOC  I-AM-LOC  I-AM-LOC O I-AM-LOC  I-AM-LOC O I-AM-LOC I-AM-LOC O B-A1 I-A1 I-A1 B-V B-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT O      
Pasangan nomor urut 3 unggul dengan perolehan 212 suara.,B-A0 I-A0 I-A0 I-A0 B-V B-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT,B-A0 I-A0 I-A0 I-A0 B-V B-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT O,B-A0 I-A0 I-A0 I-A0 B-V B-AM-EXT I-AM-EXT I-AM-EXT I-AM-EXT O,Sama,
"Rabu 19 April 2017, pasangan Ahok-Djarot mendapatkan 107 suara.",B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O B-A0 I-A0 B-V B-A1 I-A1,B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O B-A0 I-A0 B-V B-A1 I-A1 O,B-AM-TMP I-AM-TMP I-AM-TMP I-AM-TMP O B-A0 I-A0 B-V B-A1 I-A1 O,Sama,
"jumlah pemilih sebanyak 320 suara dengan 319 suara sah dan 1 tidak sah di TPS 08 Setiabudi, Kuningan Timur, Jakarta Selatan.",None (predicate not found),None (predicate not found),None (predicate not found),Sama,
jumlah daftar pemilih tetap berjumlah 429 di TPS tersebut 08 Setiabudi Kuningan Timur Jakarta Selatan.,B-A0 I-A0 I-A0 O B-V O B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O,B-A0 I-A0 I-A0 O B-V I-AM-ADV B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O,B-A0 I-A0 I-A0 I-A0 B-V B-AM-EXT B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O,Beda,B-A0 I-A0 I-A0 I-A0 B-V B-AM-EXT B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC O
pasangan Ahok-Djarot Saiful Hidayat dan Anies Baswedan-Sandiaga Uno mengikuti Pilkada DKI Jakarta 2017 Putaran Kedua.,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,Sama,
Dua pasangan Ahok-Djarot Saiful Hidayat dan Anies Baswedan-Sandiaga Uno lolos ke putaran kedua Pilkada DKI berdasarkan perhitungan KPU DKI.,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 I-A1 O,B-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 I-A0 B-V B-AM-LOC I-AM-LOC I-AM-LOC I-AM-LOC B-AM-CAU I-AM-CAU I-AM-CAU I-AM-CAU,Beda,
"Ahok-Djarot meraih 42,99 persen suara,",B-A0 B-V B-A1 I-A1 I-A1 O,B-A0 B-V B-A1 I-A1 I-A1 O,B-A0 B-V B-A1 I-A1 I-A1 O,Sama,
